model,l_accuracy,z_accuracy,p_accuracy
baseline,0.6738461538461539,0.5476923076923077,0.47692307692307695
mae-ct,0.6507692307692308,0.5169230769230769,0.37384615384615383
reduced-100,0.676923076923077,0.6061538461538462,0.48
reduced-200,0.6953846153846154,0.6215384615384615,0.5353846153846153
reduced-300,0.6984615384615385,0.6261538461538462,0.5492307692307692
reduced-400,0.7061538461538461,0.6892307692307692,0.5953846153846154
reduced-500,0.7169230769230769,0.7261538461538461,0.6476923076923077
reduced-600,0.7323076923076923,0.7107692307692308,0.6384615384615384
reduced-700,0.7415384615384616,0.7338461538461538,0.6169230769230769
reduced-800,0.7661538461538462,0.7553846153846154,0.7107692307692308
reduced-900,0.7630769230769231,0.7830769230769231,0.696923076923077
