model,l_accuracy,z_accuracy,p_accuracy
baseline,0.9504692387904067,0.9550573514077164,0.9515537017726798
mae-ct,0.9334932221063608,0.9185818561001042,0.9017309697601669
reduced-100,0.9509906152241918,0.9547028154327425,0.9509280500521377
reduced-200,0.9501772679874869,0.9547445255474453,0.950385818561001
reduced-300,0.9501147028154328,0.9552241918665276,0.9518248175182482
reduced-400,0.9505735140771637,0.9552867570385819,0.9515328467153285
reduced-500,0.9523044838373306,0.9557664233576643,0.9520542231491137
reduced-600,0.9521793534932221,0.9542857142857143,0.9479874869655892
reduced-700,0.9531595411887382,0.9575808133472367,0.9535349322210636
reduced-800,0.9525964546402502,0.9547653806047967,0.949155370177268
reduced-900,0.9524713242961418,0.9527632950990615,0.944859228362878
